uid,namedLocation,date,eventID,domainID,siteID,plotID,pointID,stemDistance,stemAzimuth,recordType,individualID,supportingStemIndividualID,previouslyTaggedAs,otherTagID,otherTagOrg,samplingProtocolVersion,identificationHistoryID,taxonID,scientificName,genus,family,taxonRank,identificationReferences,morphospeciesID,morphospeciesIDRemarks,identificationQualifier,remarks,measuredBy,recordedBy,dataQF
56b1171e-8389-41e5-9e43-479dce4cba6f,CLBJ_029.basePlot.vst,3/31/2013,vst_CLBJ_2013,D11,CLBJ,CLBJ_029,49,8.5,155.7,,NEON.PLA.D11.CLBJ.00762,,,,,NEON.DOC.000987vE,,ULCR,Ulmus crassifolia Nutt.,Ulmus,Ulmaceae,species,,,,,,jjamison@field-ops.org,srubin@neoninc.org,
6bb97c6a-ae02-4922-8514-20cec5711f83,CLBJ_029.basePlot.vst,3/31/2013,vst_CLBJ_2013,D11,CLBJ,CLBJ_029,,,,,NEON.PLA.D11.CLBJ.00757,,,,,NEON.DOC.000987vE,,ULCR,Ulmus crassifolia Nutt.,Ulmus,Ulmaceae,species,,,,,,jjamison@field-ops.org,srubin@neoninc.org,
97330cb6-73af-4685-b884-06371011f4a5,CLBJ_029.basePlot.vst,3/31/2013,vst_CLBJ_2013,D11,CLBJ,CLBJ_029,49,7.2,108.9,,NEON.PLA.D11.CLBJ.00756,,,,,NEON.DOC.000987vE,,QUST,Quercus stellata Wangenh.,Quercus,Fagaceae,species,,,,,,jjamison@field-ops.org,srubin@neoninc.org,
44ae8782-e636-49b4-adad-5d7dfcc933a9,CLBJ_029.basePlot.vst,3/31/2013,vst_CLBJ_2013,D11,CLBJ,CLBJ_029,,,,,NEON.PLA.D11.CLBJ.00784,,,,,NEON.DOC.000987vE,,CELA,Celtis laevigata Willd.,Celtis,Ulmaceae,species,,,,,,jjamison@field-ops.org,srubin@neoninc.org,
ceb2cd05-afc3-4ac0-846f-375300976bce,CLBJ_029.basePlot.vst,3/31/2013,vst_CLBJ_2013,D11,CLBJ,CLBJ_029,49,6.7,167.2,,NEON.PLA.D11.CLBJ.00752,,,,,NEON.DOC.000987vE,,QUERC,Quercus sp.,Quercus,Fagaceae,genus,,,,,,jjamison@field-ops.org,srubin@neoninc.org,
74c2f2df-2363-48ee-8b48-6afccebdd528,CLBJ_029.basePlot.vst,3/31/2013,vst_CLBJ_2013,D11,CLBJ,CLBJ_029,,,,,NEON.PLA.D11.CLBJ.00769,,,,,NEON.DOC.000987vE,,ULCR,Ulmus crassifolia Nutt.,Ulmus,Ulmaceae,species,,,,,,jjamison@field-ops.org,srubin@neoninc.org,
2e69fa68-3a51-4f65-8557-931084668b68,CLBJ_029.basePlot.vst,3/31/2013,vst_CLBJ_2013,D11,CLBJ,CLBJ_029,,,,,NEON.PLA.D11.CLBJ.00758,,,,,NEON.DOC.000987vE,,QUERC,Quercus sp.,Quercus,Fagaceae,genus,,,,,,jjamison@field-ops.org,srubin@neoninc.org,
af83f360-1446-4423-b142-b4b02dd801be,CLBJ_029.basePlot.vst,3/31/2013,vst_CLBJ_2013,D11,CLBJ,CLBJ_029,,,,,NEON.PLA.D11.CLBJ.00754,,,,,NEON.DOC.000987vE,,ULCR,Ulmus crassifolia Nutt.,Ulmus,Ulmaceae,species,,,,,,jjamison@field-ops.org,srubin@neoninc.org,
9d7af928-4aa2-49e1-863f-79f29108fe72,CLBJ_029.basePlot.vst,3/31/2013,vst_CLBJ_2013,D11,CLBJ,CLBJ_029,,,,,NEON.PLA.D11.CLBJ.00768,,,,,NEON.DOC.000987vE,,QUERC,Quercus sp.,Quercus,Fagaceae,genus,,,,,,jjamison@field-ops.org,srubin@neoninc.org,
7762db04-dd3a-45c5-939e-653fa5f7c52d,CLBJ_029.basePlot.vst,3/31/2013,vst_CLBJ_2013,D11,CLBJ,CLBJ_029,,,,,NEON.PLA.D11.CLBJ.00755,,,,,NEON.DOC.000987vE,,ULCR,Ulmus crassifolia Nutt.,Ulmus,Ulmaceae,species,,,,,,jjamison@field-ops.org,srubin@neoninc.org,
314e1fd4-f4d4-4495-add8-348ec6225fee,CLBJ_029.basePlot.vst,3/31/2013,vst_CLBJ_2013,D11,CLBJ,CLBJ_029,,,,,NEON.PLA.D11.CLBJ.00763,,,,,NEON.DOC.000987vE,,ULCR,Ulmus crassifolia Nutt.,Ulmus,Ulmaceae,species,,,,,,jjamison@field-ops.org,srubin@neoninc.org,
54bbfcca-39cd-45db-8ce7-3259adacd9ac,CLBJ_029.basePlot.vst,3/31/2013,vst_CLBJ_2013,D11,CLBJ,CLBJ_029,,,,,NEON.PLA.D11.CLBJ.00760,,,,,NEON.DOC.000987vE,,ULMUS,Ulmus sp.,Ulmus,Ulmaceae,genus,,,,,,jjamison@field-ops.org,srubin@neoninc.org,
414f1d1c-1978-4455-95e2-2670192ce96d,CLBJ_029.basePlot.vst,3/31/2013,vst_CLBJ_2013,D11,CLBJ,CLBJ_029,,,,,NEON.PLA.D11.CLBJ.00759,,,,,NEON.DOC.000987vE,,ULCR,Ulmus crassifolia Nutt.,Ulmus,Ulmaceae,species,,,,,,jjamison@field-ops.org,srubin@neoninc.org,
269f7ef5-72c3-428c-8363-a6b5740d2497,CLBJ_029.basePlot.vst,3/31/2013,vst_CLBJ_2013,D11,CLBJ,CLBJ_029,,,,,NEON.PLA.D11.CLBJ.00782,,,,,NEON.DOC.000987vE,,CELA,Celtis laevigata Willd.,Celtis,Ulmaceae,species,,,,,,jjamison@field-ops.org,srubin@neoninc.org,
59563f5e-b35e-4106-aa89-2500a167fd6d,CLBJ_029.basePlot.vst,3/31/2013,vst_CLBJ_2013,D11,CLBJ,CLBJ_029,,,,,NEON.PLA.D11.CLBJ.00753,,,,,NEON.DOC.000987vE,,ULCR,Ulmus crassifolia Nutt.,Ulmus,Ulmaceae,species,,,,,,jjamison@field-ops.org,srubin@neoninc.org,
4383b175-20bb-43d9-a5c3-3e493d7f11dd,CLBJ_029.basePlot.vst,3/31/2013,vst_CLBJ_2013,D11,CLBJ,CLBJ_029,49,7.9,168.8,,NEON.PLA.D11.CLBJ.00767,,,,,NEON.DOC.000987vE,,QUST,Quercus stellata Wangenh.,Quercus,Fagaceae,species,,,,,multiple tumor-like fusions between boles,jjamison@field-ops.org,srubin@neoninc.org,
